curso,arquivo,topico,termo,classe,fonte_declarada,nota
ES2,llm,1.3.4 Orientada a Microsserviços,Escalabilidade Vertical,llm-compilado,,
ES2,llm,1.3.4 Orientada a Microsserviços,Escalabilidade Horizontal,llm-compilado,,
ES2,llm,1.3.4 Orientada a Microsserviços,Service Discovery,llm-compilado,,
ES2,llm,1.3.4 Orientada a Microsserviços,Service Registry,llm-compilado,,
ES2,llm,1.3.4 Orientada a Microsserviços,Client-Side Discovery,llm-compilado,,
ES2,llm,1.3.4 Orientada a Microsserviços,Server-Side Discovery,llm-compilado,,
ES2,llm,1.3.4 Orientada a Microsserviços,Backends for frontends,llm-compilado,,
ES2,llm,1.4 Estratégias de Construção de Arquitetura,Decisões Arquiteturais,llm-compilado,,
ES2,llm,1.5 Estudo de caso: arquitetura orientada a microsserviços,microserviço de conversão,llm-compilado,,
ES2,llm,1.5 Estudo de caso: arquitetura orientada a microsserviços,Discovery (Name Server),llm-compilado,,
ES2,llm,1.5 Estudo de caso: arquitetura orientada a microsserviços,Balanceamento de Carga,llm-compilado,,
ES2,llm,1.5 Estudo de caso: arquitetura orientada a microsserviços,Netflix Eureka,llm-compilado,,
ES2,llm,1.5 Estudo de caso: arquitetura orientada a microsserviços,CurrencyExchangeProxy,llm-compilado,,
ES2,llm,1.5 Estudo de caso: arquitetura orientada a microsserviços,CurrencyExchange,llm-compilado,,
ES2,llm,1.5 Estudo de caso: arquitetura orientada a microsserviços,CurrencyConversion,llm-compilado,,
ES2,llm,1.5 Estudo de caso: arquitetura orientada a microsserviços,ApiGatewayApplication,llm-compilado,,
ES2,llm,2.1 Conceito de DevOps,DevOps,llm-compilado,,
ES2,llm,2.2 Gerenciamento da Configuração,Gerência de configuração,llm-compilado,,
ES2,llm,2.2 Gerenciamento da Configuração,Gerência de versões e mudanças,llm-compilado,,
ES2,llm,2.2 Gerenciamento da Configuração,Infraestrutura como código (IaC),llm-compilado,,
ES2,llm,2.2 Gerenciamento da Configuração,Gerência de pacotes,llm-compilado,,
ES2,llm,2.3 Integração contínua (CI),Pipeline,llm-compilado,,
ES2,llm,2.6 Plataformas de DevOps,Docker,llm-compilado,,
ES2,llm,2.6 Plataformas de DevOps,Kubernetes,llm-compilado,,
ES2,llm,2.6 Plataformas de DevOps,Azure,llm-compilado,,
ES2,llm,2.6 Plataformas de DevOps,Ambientes de Desenvolvimento em Nuvem,llm-compilado,,
ES2,llm,2.7 Estudo de Caso: integração e implantação de microsserviços,Circuit Breaker,llm-compilado,,
ES2,llm,2.7 Estudo de Caso: integração e implantação de microsserviços,Composição de Containers,llm-compilado,,
ES2,llm,2.7 Estudo de Caso: integração e implantação de microsserviços,compose.yaml,llm-compilado,,
ES2,llm,2.7 Estudo de Caso: integração e implantação de microsserviços,RabbitMQ,llm-compilado,,
ES2,llm,2.7 Estudo de Caso: integração e implantação de microsserviços,Comunicação por Filas,llm-compilado,,
ES2,llm,2.7 Estudo de Caso: integração e implantação de microsserviços,Auth0,llm-compilado,,
ES2,llm,2.7 Estudo de Caso: integração e implantação de microsserviços,Autenticação e Autorização,llm-compilado,,
ES2,llm,2.7 Estudo de Caso: integração e implantação de microsserviços,Serviço em contêiner,llm-compilado,,
ES2,llm,2.7 Estudo de Caso: integração e implantação de microsserviços,Contêiner,llm-compilado,,
ES2,llm,2.7 Estudo de Caso: integração e implantação de microsserviços,Máquina Virtual,llm-compilado,,
ES2,llm,2.7 Estudo de Caso: integração e implantação de microsserviços,multi-stage build,llm-compilado,,
TCC,manual/cru,4.3 Hierarquia de Classes de Complexidade de Problemas,classicos,auto-professor,secao,
TCC,manual/cru,4.3 Hierarquia de Classes de Complexidade de Problemas,detalhado,auto-professor,secao,
TCC,manual/cru,4.3 Hierarquia de Classes de Complexidade de Problemas,mensagem,auto-professor,secao,
TCC,manual/cru,2.1 Máquinas de Turing,lemas,auto-professor,secao,
TCC,manual/cru,2.1 Máquinas de Turing,visoes,auto-professor,secao,
TCC,manual/cru,3.4 Teoremas de Gödel,desfechos,auto-professor,secao,
TCC,manual/cru,3.4 Teoremas de Gödel,revisitado,auto-professor,secao,
TCC,llm,1.1 Conjuntos Enumeráveis,Enumerabilidade,llm-compilado,,
TCC,llm,1.1 Conjuntos Enumeráveis,Conjunto Enumerável,llm-compilado,,
TCC,llm,1.1 Conjuntos Enumeráveis,Contável,llm-compilado,,
TCC,llm,1.1 Conjuntos Enumeráveis,Conjunto Infinito Contável,llm-compilado,,
TCC,llm,1.1 Conjuntos Enumeráveis,Função de Pareamento de Cantor,llm-compilado,,
TCC,llm,1.2 Argumento Diagonal de Cantor e Conjuntos Incontáveis,Conjuntos Não-Enumeráveis,llm-compilado,,
TCC,llm,1.2 Argumento Diagonal de Cantor e Conjuntos Incontáveis,Conjunto Não-Enumerável,llm-compilado,,
TCC,llm,1.2 Argumento Diagonal de Cantor e Conjuntos Incontáveis,Incontável,llm-compilado,,
TCC,llm,1.2 Argumento Diagonal de Cantor e Conjuntos Incontáveis,Argumento da Diagonalização de Cantor,llm-compilado,,
TCC,llm,1.3 Funções Recursivas Primitivas e Funções Recursivas Parciais,Funções Computáveis,llm-compilado,,
TCC,llm,1.3 Funções Recursivas Primitivas e Funções Recursivas Parciais,Funções Recursivas Primitivas,llm-compilado,,
TCC,llm,1.3 Funções Recursivas Primitivas e Funções Recursivas Parciais,Composição de Funções,llm-compilado,,
TCC,llm,1.3 Funções Recursivas Primitivas e Funções Recursivas Parciais,Tese de Church-Turing,llm-compilado,,
TCC,llm,1.3 Funções Recursivas Primitivas e Funções Recursivas Parciais,Funções Recursivas,llm-compilado,,
TCC,llm,1.3 Funções Recursivas Primitivas e Funções Recursivas Parciais,Função Zero,llm-compilado,,
TCC,llm,1.3 Funções Recursivas Primitivas e Funções Recursivas Parciais,Funções de Projeção,llm-compilado,,
TCC,llm,1.3 Funções Recursivas Primitivas e Funções Recursivas Parciais,Funções Recursivas Parciais,llm-compilado,,
TCC,llm,1.3 Funções Recursivas Primitivas e Funções Recursivas Parciais,Função de Ackermann,llm-compilado,,
TCC,llm,1.3 Funções Recursivas Primitivas e Funções Recursivas Parciais,Funções Parciais,llm-compilado,,
TCC,llm,1.3 Funções Recursivas Primitivas e Funções Recursivas Parciais,Operador \mu,llm-compilado,,
TCC,llm,1.3 Funções Recursivas Primitivas e Funções Recursivas Parciais,Minimização Regular,llm-compilado,,
TCC,llm,1.3 Funções Recursivas Primitivas e Funções Recursivas Parciais,Minimização Limitada,llm-compilado,,
TCC,llm,1.3 Funções Recursivas Primitivas e Funções Recursivas Parciais,Minimização Ilimitada,llm-compilado,,
TCC,llm,2.1 Máquinas de Turing,Máquina de Turing,llm-compilado,,
TCC,llm,2.1 Máquinas de Turing,A Função de Transição,llm-compilado,,
TCC,llm,2.1 Máquinas de Turing,Configuração,llm-compilado,,
TCC,llm,2.1 Máquinas de Turing,Autômatos Finitos,llm-compilado,,
TCC,llm,2.1 Máquinas de Turing,Processadoras de Funções,llm-compilado,,
TCC,llm,2.1 Máquinas de Turing,Funções Turing-Computáveis,llm-compilado,,
TCC,llm,2.1 Máquinas de Turing,Função Parcial,llm-compilado,,
TCC,llm,2.1 Máquinas de Turing,Função Total,llm-compilado,,
TCC,llm,2.1 Máquinas de Turing,Codificação de Tuplas,llm-compilado,,
TCC,llm,2.1 Máquinas de Turing,O Problema de Hilbert,llm-compilado,,
TCC,llm,2.1 Máquinas de Turing,A Resposta de Turing,llm-compilado,,
TCC,llm,2.2 Linguagens Reconhecíveis e Decidíveis,Linguagens Reconhecíveis,llm-compilado,,
TCC,llm,2.2 Linguagens Reconhecíveis e Decidíveis,Linguagens Decidíveis,llm-compilado,,
TCC,llm,2.2 Linguagens Reconhecíveis e Decidíveis,Linguagens Recursivamente Enumeráveis,llm-compilado,,
TCC,llm,2.2 Linguagens Reconhecíveis e Decidíveis,Linguagem Turing-Reconhecível,llm-compilado,,
TCC,llm,2.2 Linguagens Reconhecíveis e Decidíveis,Linguagem Turing-Decidível,llm-compilado,,
TCC,llm,2.2 Linguagens Reconhecíveis e Decidíveis,co-R.E.,llm-compilado,,
TCC,llm,2.2 Linguagens Reconhecíveis e Decidíveis,Rekursiva,llm-compilado,,
TCC,llm,2.2 Linguagens Reconhecíveis e Decidíveis,Linguagens Regulares,llm-compilado,,
TCC,llm,2.2 Linguagens Reconhecíveis e Decidíveis,Linguagens Livres de Contexto,llm-compilado,,
TCC,llm,2.2 Linguagens Reconhecíveis e Decidíveis,Problemas Aritméticos,llm-compilado,,
TCC,llm,2.3 Variações de Máquinas de Turing,MT Multifita,llm-compilado,,
TCC,llm,2.3 Variações de Máquinas de Turing,Não-Determinismo,llm-compilado,,
TCC,llm,2.3 Variações de Máquinas de Turing,Árvore de Computação,llm-compilado,,
TCC,llm,3.1 Prova da Indecidibilidade do Problema da Parada,O Problema da Parada,llm-compilado,,
TCC,llm,3.1 Prova da Indecidibilidade do Problema da Parada,Halting Problem,llm-compilado,,
TCC,llm,3.1 Prova da Indecidibilidade do Problema da Parada,Halteproblem,llm-compilado,,
TCC,llm,3.2 Entscheidungsproblem e Introdução à Reducibilidade de Problemas,Entscheidungsproblem,llm-compilado,,
TCC,llm,3.2 Entscheidungsproblem e Introdução à Reducibilidade de Problemas,Problema da Decisão,llm-compilado,,
TCC,llm,3.2 Entscheidungsproblem e Introdução à Reducibilidade de Problemas,O Programa de Hilbert,llm-compilado,,
TCC,llm,3.2 Entscheidungsproblem e Introdução à Reducibilidade de Problemas,Teorema de Rice,llm-compilado,,
TCC,llm,3.2 Entscheidungsproblem e Introdução à Reducibilidade de Problemas,Problema da Correspondência de Post,llm-compilado,,
TCC,llm,3.3 Decidibilidade de Teorias Lógicas,Lógica de Primeira Ordem,llm-compilado,,
TCC,llm,3.3 Decidibilidade de Teorias Lógicas,Lógica de Predicados,llm-compilado,,
TCC,llm,3.3 Decidibilidade de Teorias Lógicas,Validade e Satisfatibilidade,llm-compilado,,
TCC,llm,3.4 Teoremas de Gödel,Teoremas de Incompletude de Gödel,llm-compilado,,
TCC,llm,3.4 Teoremas de Gödel,Kurt Gödel,llm-compilado,,
TCC,llm,3.4 Teoremas de Gödel,Aritmética de Peano,llm-compilado,,
TCC,llm,3.4 Teoremas de Gödel,Números de Gödel,llm-compilado,,
TCC,llm,3.4 Teoremas de Gödel,Paradoxo do Mentiroso,llm-compilado,,
TCC,llm,4.1 Tipos de Problemas Computacionais,Classes de Problemas,llm-compilado,,
TCC,llm,4.1 Tipos de Problemas Computacionais,Classes de Problemas e Complexidade,llm-compilado,,
TCC,llm,4.2 Complexidade de Tempo e de Espaço,Complexidade de Tempo,llm-compilado,,
TCC,llm,4.2 Complexidade de Tempo e de Espaço,Recursos Computacionais,llm-compilado,,
TCC,llm,4.2 Complexidade de Tempo e de Espaço,Análise de Pior Caso,llm-compilado,,
TCC,llm,4.2 Complexidade de Tempo e de Espaço,Notação Assintótica,llm-compilado,,
TCC,llm,4.2 Complexidade de Tempo e de Espaço,Notação O,llm-compilado,,
TCC,llm,4.2 Complexidade de Tempo e de Espaço,Big-O,llm-compilado,,
TCC,llm,4.3 Hierarquia de Classes de Complexidade de Problemas,Classes de Crescimento,llm-compilado,,
TCC,llm,4.3 Hierarquia de Classes de Complexidade de Problemas,Divisão Fundamental,llm-compilado,,
TCC,llm,4.3 Hierarquia de Classes de Complexidade de Problemas,Classes Super-Polinomiais,llm-compilado,,
TCC,llm,4.4 Classe P e exemplos de Problemas em P,Definição Formal da Classe P,llm-compilado,,
TCC,llm,4.4 Classe P e exemplos de Problemas em P,PATH,llm-compilado,,
TCC,llm,4.4 Classe P e exemplos de Problemas em P,PRIMES,llm-compilado,,
TCC,llm,4.4 Classe P e exemplos de Problemas em P,Tese de Cobham-Edmonds,llm-compilado,,
TCC,llm,4.4 Classe P e exemplos de Problemas em P,Fechamento,llm-compilado,,
TCC,llm,4.4 Classe P e exemplos de Problemas em P,Robustez,llm-compilado,,
TCC,llm,4.5 Classe NP,certificado polinomial,llm-compilado,,
TCC,llm,4.5.1 Definição da Classe,NP-hard,llm-compilado,,
TCC,llm,4.5.1 Definição da Classe,NP-completo,llm-compilado,,
TCC,llm,4.5.1 Definição da Classe,NP-Completeness,llm-compilado,,
TCC,llm,4.5.2 Exemplos de Problemas Importantes em NP e suas aplicações industriais,3-Dimensional Matching,llm-compilado,,
TCC,llm,4.5.2 Exemplos de Problemas Importantes em NP e suas aplicações industriais,Integer Programming,llm-compilado,,
TCC,llm,4.5.2 Exemplos de Problemas Importantes em NP e suas aplicações industriais,Vertex Cover,llm-compilado,,
TCC,llm,4.5.2 Exemplos de Problemas Importantes em NP e suas aplicações industriais,SAT-3,llm-compilado,,
TCC,llm,4.5.4 Redução Polinomial de Problemas,Redução Polinomial,llm-compilado,,
TCC,llm,4.5.4 Redução Polinomial de Problemas,Transitividade,llm-compilado,,
TCC,llm,4.5.4 Redução Polinomial de Problemas,Gadget de Variável,llm-compilado,,
TCC,llm,4.5.4 Redução Polinomial de Problemas,Gadget de Cláusula,llm-compilado,,
TCC,llm,4.5.4 Redução Polinomial de Problemas,Gadget de Limpeza,llm-compilado,,
TCC,llm,4.5.5 Provas de NP-Completude,NP-Compleitude,llm-compilado,,
TCC,llm,4.5.5 Provas de NP-Completude,Como Provar NP-Compleitude,llm-compilado,,
TCC,llm,4.5.5 Provas de NP-Completude,Método Padrão,llm-compilado,,
CG,manual/cru,1.4 Aplicações,OpenGL,benchmark,,"12/09 (ruling do user 11/09: OpenGL = u01, subunidade 1.4): o M1 tirou OpenGL de 1.2 Conceitos e o bloco-02 'introducao opengl' ficou sem ancora (6 materiais herdaram u02 do bloco-03). Medido: so 'OpenGL' em 1.4 -> u01."
CG,manual/cru,7.1.1.4 Catmull-Rom,Catmull-Rom,benchmark,,"12/09 (Gate 1 aprovado, 'ataque a subunidade'): medido no replay sincronizado, c1-3/replay_exp_curadoria_12-09.log e replay_exp_u05_12-09.log: E4 curvas +2 (exercicios-sobre-curvas x2), 0 perdas"
CG,manual/cru,7.1.1.1 Bézier e Algoritmo de Casteljau,Bézier,benchmark,,"12/09 (Gate 1 aprovado, 'ataque a subunidade'): medido no replay sincronizado, c1-3/replay_exp_curadoria_12-09.log e replay_exp_u05_12-09.log: E4 curvas +2 (exercicios-sobre-curvas x2), 0 perdas"
CG,manual/cru,7.1.1.1 Bézier e Algoritmo de Casteljau,Casteljau,benchmark,,"12/09 (Gate 1 aprovado, 'ataque a subunidade'): medido no replay sincronizado, c1-3/replay_exp_curadoria_12-09.log e replay_exp_u05_12-09.log: E4 curvas +2 (exercicios-sobre-curvas x2), 0 perdas"
CG,manual/cru,7.1.1 Representação de Curvas Paramétricas,Curvas Paramétricas,benchmark,,"12/09 (Gate 1 aprovado, 'ataque a subunidade'): medido no replay sincronizado, c1-3/replay_exp_curadoria_12-09.log e replay_exp_u05_12-09.log: E4 curvas +2 (exercicios-sobre-curvas x2), 0 perdas"
CG,llm,1.1 Origens,WHIRLWIND,llm-compilado,,
CG,llm,1.1 Origens,SAGE,llm-compilado,,
CG,llm,1.1 Origens,Semi-Automatic Ground Enviroment,llm-compilado,,
CG,llm,1.1 Origens,Sketchpad,llm-compilado,,
CG,llm,1.1 Origens,Invenção do mouse,llm-compilado,,
CG,llm,2.1 Entidades geométricas,Pontos,llm-compilado,,
CG,llm,2.1 Entidades geométricas,Vetores,llm-compilado,,
CG,llm,2.1 Entidades geométricas,Vetor,llm-compilado,,
CG,llm,2.1 Entidades geométricas,Retas,llm-compilado,,
CG,llm,2.1 Entidades geométricas,Triângulo,llm-compilado,,
CG,llm,2.1 Entidades geométricas,Eixos,llm-compilado,,
CG,llm,2.2 Operações com vetores,Soma,llm-compilado,,
CG,llm,2.2 Operações com vetores,Animação com Vetores,llm-compilado,,
CG,llm,2.3 Algoritmos de detecção e cálculo de intersecção,Colisão,llm-compilado,,
CG,llm,2.3 Algoritmos de detecção e cálculo de intersecção,AABB,llm-compilado,,
CG,llm,2.3 Algoritmos de detecção e cálculo de intersecção,Axis Aligned Bounding Boxes,llm-compilado,,
CG,llm,2.3 Algoritmos de detecção e cálculo de intersecção,OOBB,llm-compilado,,
CG,llm,2.3 Algoritmos de detecção e cálculo de intersecção,Object Oriented Bounding Boxes,llm-compilado,,
CG,llm,2.3 Algoritmos de detecção e cálculo de intersecção,Envelopes Hierárquicos,llm-compilado,,
CG,llm,2.3 Algoritmos de detecção e cálculo de intersecção,Subdivisão do Espaço,llm-compilado,,
CG,llm,2.4 Algoritmos de polígonos,Polígonos,llm-compilado,,
CG,llm,2.4 Algoritmos de polígonos,Polígono,llm-compilado,,
CG,llm,2.4 Algoritmos de polígonos,Concavidade em Polígono,llm-compilado,,
CG,llm,2.4 Algoritmos de polígonos,Inclusão de ponto,llm-compilado,,
CG,llm,2.4 Algoritmos de polígonos,Polígono Convexo,llm-compilado,,
CG,llm,2.4 Algoritmos de polígonos,Polígono Côncavo,llm-compilado,,
CG,llm,2.5 Algoritmos de Geometria Computacional,GeomComp,llm-compilado,,
CG,llm,2.5 Algoritmos de Geometria Computacional,Cobertura Convexa,llm-compilado,,
CG,llm,3.2 Cores e tipos de imagens,cores dos pixels,llm-compilado,,
CG,llm,3.2 Cores e tipos de imagens,níveis de cinza,llm-compilado,,
CG,llm,3.4 Filtros,Convolução,llm-compilado,,
CG,llm,3.4 Filtros,Filtro Passa-Alta,llm-compilado,,
CG,llm,3.4 Filtros,Filtros Passa-Alta(Sobel),llm-compilado,,
CG,llm,3.4 Filtros,Sobel,llm-compilado,,
CG,llm,3.4 Filtros,Filtro Passa-Baixa,llm-compilado,,
CG,llm,3.4 Filtros,Mediana,llm-compilado,,
CG,llm,3.4 Filtros,Remoção de Ruído,llm-compilado,,
CG,llm,3.4 Filtros,Histogramas,llm-compilado,,
CG,llm,3.4 Filtros,Equalização,llm-compilado,,
CG,llm,3.4 Filtros,Janelamento,llm-compilado,,
CG,llm,3.5 Segmentação,Segmentação por descontinuidades,llm-compilado,,
CG,llm,3.5 Segmentação,Segmentação por Limiar,llm-compilado,,
CG,llm,3.5 Segmentação,Limiar,llm-compilado,,
CG,llm,3.5 Segmentação,Segmentação Orientada a Regiões,llm-compilado,,
CG,llm,3.5 Segmentação,Segmentação por texturas,llm-compilado,,
CG,llm,3.5 Segmentação,Segmentação por descritores estatísticos,llm-compilado,,
CG,llm,3.5 Segmentação,momentos estatísticos,llm-compilado,,
CG,llm,3.5 Segmentação,Matrizes de co-ocorrência de níveis de cinza,llm-compilado,,
CG,llm,3.5 Segmentação,energia,llm-compilado,,
CG,llm,3.5 Segmentação,Entropia,llm-compilado,,
CG,llm,3.5 Segmentação,Contraste,llm-compilado,,
CG,llm,3.5 Segmentação,Homogeneidade,llm-compilado,,
CG,llm,3.5 Segmentação,FloodFill,llm-compilado,,
CG,llm,3.5 Segmentação,preenchimento de área,llm-compilado,,
CG,llm,3.5 Segmentação,Cálculo/Preenchimento de Áreas,llm-compilado,,
CG,llm,3.5 Segmentação,Medidas Estruturais,llm-compilado,,
CG,llm,4.1 Sistema de Coordenadas Cartesianas,Sistemas de Referência,llm-compilado,,
CG,llm,4.1 Sistema de Coordenadas Cartesianas,Sistema de Referência do Objeto,llm-compilado,,
CG,llm,4.1 Sistema de Coordenadas Cartesianas,Janela de Seleção,llm-compilado,,
CG,llm,4.1 Sistema de Coordenadas Cartesianas,Janela de Exibição,llm-compilado,,
CG,llm,"4.1.1 2D, 3D (mão direita) e (mão esquerda)",Visualização Bidimensional,llm-compilado,,
CG,llm,4.2.3 Recorte,Recorte de Retas,llm-compilado,,
CG,llm,4.2.3 Recorte,Algoritmo de Cohen-Sutherland,llm-compilado,,
CG,llm,6.2 Conceito de Câmera Sintética,Câmera Sintética,llm-compilado,,
CG,llm,6.2 Conceito de Câmera Sintética,Observador,llm-compilado,,
CG,llm,6.2 Conceito de Câmera Sintética,Observador do Universo,llm-compilado,,
CG,llm,6.2 Conceito de Câmera Sintética,Mudança de Base,llm-compilado,,
CG,llm,6.2 Conceito de Câmera Sintética,Mudança de Coordenadas,llm-compilado,,
CG,llm,6.2 Conceito de Câmera Sintética,Referência da Câmera,llm-compilado,,
CG,llm,6.3 Projeções,Projeção,llm-compilado,,
CG,llm,6.3.1 Paralela,PROJEÇÃO PARALELA,llm-compilado,,
CG,llm,6.3.1 Paralela,PROJEÇÃO PARALELA ORTOGRÁFICA,llm-compilado,,
CG,llm,6.3.2 Perspectiva,PROJEÇÃO PERSPECTIVA,llm-compilado,,
CG,llm,6.3.3 A matemática das projeções planares,Cálculo de w,llm-compilado,,
CG,llm,6.3.3 A matemática das projeções planares,Cálculo de u,llm-compilado,,
CG,llm,6.3.3 A matemática das projeções planares,Cálculo de v,llm-compilado,,
CG,llm,6.3.3 A matemática das projeções planares,valor de D,llm-compilado,,
CG,llm,6.4 Algoritmos de Remoção de Elementos Ocultos,Eliminação de superfícies escondidas,llm-compilado,,
CG,llm,6.4.1 Eliminação de Faces Traseiras,Remoção de Faces Traseiras,llm-compilado,,
CG,llm,6.4.3 Algoritmo _Z-Buffer_,Zbuffer,llm-compilado,,
CG,llm,6.4.3 Algoritmo _Z-Buffer_,buffers,llm-compilado,,
CG,llm,"8.3 Métodos de sombreamento: _Flat_ , Gouraud, Phong",Sobreamento,llm-compilado,,
CG,llm,8.5 Conceitos Básicos de _Ray Tracing_ e Radiosidade,RAYTRACING,llm-compilado,,
FR,llm,1.1 Conceitos de redes de computadores e Internet,Internet,llm-compilado,,
FR,llm,1.1 Conceitos de redes de computadores e Internet,Interconexão de redes,llm-compilado,,
FR,llm,1.1 Conceitos de redes de computadores e Internet,Redes de difusão,llm-compilado,,
FR,llm,1.1 Conceitos de redes de computadores e Internet,Redes ponto a ponto,llm-compilado,,
FR,llm,1.2 Modelos OSI e TCP/IP,Modelos de Referência,llm-compilado,,
FR,llm,1.2 Modelos OSI e TCP/IP,Modelo OSI,llm-compilado,,
FR,llm,1.2 Modelos OSI e TCP/IP,TCP/IP,llm-compilado,,
FR,llm,1.2 Modelos OSI e TCP/IP,Camada Física,llm-compilado,,
FR,llm,1.2 Modelos OSI e TCP/IP,Camada de Enlace,llm-compilado,,
FR,llm,1.2 Modelos OSI e TCP/IP,Camada de Redes,llm-compilado,,
FR,llm,1.2 Modelos OSI e TCP/IP,Camada de Transporte,llm-compilado,,
FR,llm,1.2 Modelos OSI e TCP/IP,Camada de Sessão,llm-compilado,,
FR,llm,1.2 Modelos OSI e TCP/IP,Camada de Apresentação,llm-compilado,,
FR,llm,1.2 Modelos OSI e TCP/IP,Camada Host/Rede,llm-compilado,,
FR,llm,1.2 Modelos OSI e TCP/IP,Camada Inter-redes,llm-compilado,,
FR,llm,"1.3 Conceito de protocolo de redes pessoais, locais, metropolitanas e de longa distância",Protocolos de Rede,llm-compilado,,
FR,llm,"1.3 Conceito de protocolo de redes pessoais, locais, metropolitanas e de longa distância",Protocolos de Comunicação,llm-compilado,,
FR,llm,"1.3 Conceito de protocolo de redes pessoais, locais, metropolitanas e de longa distância",Redes Pessoais,llm-compilado,,
FR,llm,"1.3 Conceito de protocolo de redes pessoais, locais, metropolitanas e de longa distância",Redes Metropolitanas,llm-compilado,,
FR,llm,"1.3 Conceito de protocolo de redes pessoais, locais, metropolitanas e de longa distância",Redes Geograficamente Distribuídas,llm-compilado,,
FR,llm,"1.3 Conceito de protocolo de redes pessoais, locais, metropolitanas e de longa distância",WPAN,llm-compilado,,
FR,llm,"1.3 Conceito de protocolo de redes pessoais, locais, metropolitanas e de longa distância",Bluetooth,llm-compilado,,
FR,llm,2.1 Funções e características do nível de aplicação,Arquiteturas de Aplicação,llm-compilado,,
FR,llm,2.1 Funções e características do nível de aplicação,Protocolos de Camada de Aplicação,llm-compilado,,
FR,llm,2.1 Funções e características do nível de aplicação,Comunicação entre Processos,llm-compilado,,
FR,llm,2.2 Paradigmas cliente/servidor e P2P,Arquitetura Cliente-Servidor,llm-compilado,,
FR,llm,2.2 Paradigmas cliente/servidor e P2P,Arquitetura Peer-to-Peer,llm-compilado,,
FR,llm,2.2.1 Implementação de sockets,Socket,llm-compilado,,
FR,llm,2.2.1 Implementação de sockets,Socket UDP,llm-compilado,,
FR,llm,2.2.1 Implementação de sockets,Socket TCP,llm-compilado,,
FR,llm,"2.3 Protocolos de aplicação para infraestrutura (DNS, DHCP, SNMP, NAT)",Tradução de nomes,llm-compilado,,
FR,llm,"2.3 Protocolos de aplicação para infraestrutura (DNS, DHCP, SNMP, NAT)",Servidores Raiz,llm-compilado,,
FR,llm,"2.3 Protocolos de aplicação para infraestrutura (DNS, DHCP, SNMP, NAT)",root servers,llm-compilado,,
FR,llm,"2.3 Protocolos de aplicação para infraestrutura (DNS, DHCP, SNMP, NAT)",Consulta DNS,llm-compilado,,
FR,llm,"2.3 Protocolos de aplicação para infraestrutura (DNS, DHCP, SNMP, NAT)",Cache DNS,llm-compilado,,
FR,llm,"2.3 Protocolos de aplicação para infraestrutura (DNS, DHCP, SNMP, NAT)",DHCP,llm-compilado,,
FR,llm,"2.3 Protocolos de aplicação para infraestrutura (DNS, DHCP, SNMP, NAT)",Dynamic Host Configuration Protocol,llm-compilado,,
FR,llm,"2.3 Protocolos de aplicação para infraestrutura (DNS, DHCP, SNMP, NAT)",Processo DORA,llm-compilado,,
FR,llm,"2.3 Protocolos de aplicação para infraestrutura (DNS, DHCP, SNMP, NAT)",DHCP RELEASE,llm-compilado,,
FR,llm,"2.3 Protocolos de aplicação para infraestrutura (DNS, DHCP, SNMP, NAT)",DHCP DISCOVERY,llm-compilado,,
FR,llm,"2.3 Protocolos de aplicação para infraestrutura (DNS, DHCP, SNMP, NAT)",DHCP REQUEST,llm-compilado,,
FR,llm,"2.3 Protocolos de aplicação para infraestrutura (DNS, DHCP, SNMP, NAT)",DHCP Relay,llm-compilado,,
FR,llm,"2.3 Protocolos de aplicação para infraestrutura (DNS, DHCP, SNMP, NAT)",Gerenciamento de Lease,llm-compilado,,
FR,llm,"2.4 Protocolos de aplicação para o usuário (HTTP, HTTPS, SMTP, POP3, IMAP)",HTTP,llm-compilado,,
FR,llm,"2.4 Protocolos de aplicação para o usuário (HTTP, HTTPS, SMTP, POP3, IMAP)",Protocolo HTTP,llm-compilado,,
FR,llm,"2.4 Protocolos de aplicação para o usuário (HTTP, HTTPS, SMTP, POP3, IMAP)",Requisição HTTP,llm-compilado,,
FR,llm,"2.4 Protocolos de aplicação para o usuário (HTTP, HTTPS, SMTP, POP3, IMAP)",Cookies,llm-compilado,,
FR,llm,"2.4 Protocolos de aplicação para o usuário (HTTP, HTTPS, SMTP, POP3, IMAP)",SMTP,llm-compilado,,
FR,llm,"2.4 Protocolos de aplicação para o usuário (HTTP, HTTPS, SMTP, POP3, IMAP)",Simple Mail Transfer Protocol,llm-compilado,,
FR,llm,"2.4 Protocolos de aplicação para o usuário (HTTP, HTTPS, SMTP, POP3, IMAP)",Post Office Protocol,llm-compilado,,
FR,llm,"2.4 Protocolos de aplicação para o usuário (HTTP, HTTPS, SMTP, POP3, IMAP)",POP3,llm-compilado,,
FR,llm,"2.4 Protocolos de aplicação para o usuário (HTTP, HTTPS, SMTP, POP3, IMAP)",Download-and-delete,llm-compilado,,
FR,llm,"2.4 Protocolos de aplicação para o usuário (HTTP, HTTPS, SMTP, POP3, IMAP)",Download-and-keep,llm-compilado,,
LR,llm,HTTP e HTTPS,curl,llm-compilado,,
LR,llm,Configuração dinâmica de hosts (DHCP),DHCP,llm-compilado,,
LR,llm,Configuração dinâmica de hosts (DHCP),Processo de alocação,llm-compilado,,
LR,llm,Configuração dinâmica de hosts (DHCP),transações,llm-compilado,,
LR,llm,Configuração dinâmica de hosts (DHCP),Opções do DHCP,llm-compilado,,
