curso,entry,grupo,categoria,card,posicao_moodle,fonte_posicao,sarc_posicao,gold,sarc_gold,motor,motor_ok,veredito,label_moodle,titulo
MF,exercicios-arrays,AULA,codigo-professor,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-13,class 05-13..05-25 | 05-13 logica de programas introducao ao dafn; 05-18 logica de programas colecoes dafny arr; 05-20 logica de programas colecoes dafny seq,bloco-13,True,concorda,Respostas,exercicios_arrays
MF,exercicios-conjuntos,AULA,codigo-professor,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-13,class 05-13..05-25 | 05-13 logica de programas introducao ao dafn; 05-18 logica de programas colecoes dafny arr; 05-20 logica de programas colecoes dafny seq,bloco-13,True,concorda,Respostas,Exercicios Conjuntos
MF,hoare,AULA,codigo-professor,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-10,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula,bloco-10,True,concorda,Exemplos (Logica de Floyd-Hoare),Hoare
MF,intro,AULA,codigo-professor,Provas por Indução,bloco-05 bloco-06 bloco-07,label: Semana 30/03/2026 a 03/04/2026: (30/03/2026): Espe... || Sem,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au / class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-06,class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-06,True,concorda,Exemplos - introducao,intro
MF,introducao-zip,AULA,codigo-professor,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-12,class 05-11..05-11 | 05-11 terminacao introducao ao dafny aula,bloco-12,True,concorda,Exemplos (introducao a Dafny),Introducao
MF,invariantes,AULA,codigo-professor,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-11,deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-11,True,concorda,Exemplos (invariantes de laco),Invariantes
MF,listas,AULA,codigo-professor,Provas por Indução,bloco-05 bloco-06 bloco-07,label: Semana 30/03/2026 a 03/04/2026: (30/03/2026): Espe... || Sem,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au / class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-06,class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-05,False,concorda,Exemplos: provas sobre listas,listas
MF,provas,AULA,codigo-professor,Provas por Indução,bloco-05 bloco-06 bloco-07,label: Semana 30/03/2026 a 03/04/2026: (30/03/2026): Espe... || Sem,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au / class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-06,class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-06,True,concorda,Exemplos - provas isabelle e isar,provas
MF,t1-2026-1-thy,AULA,codigo-professor,TDE Trabalho Discente Efetivo,bloco-11,label: Trabalho 1 (06/05/2026):,deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-11,deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-11,True,concorda,Arquivo .thy,T1 2026 1
MF,terminacao,AULA,codigo-professor,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-12,class 05-11..05-11 | 05-11 terminacao introducao ao dafny aula,bloco-12,True,concorda,Exemplos (Terminacao),Terminacao
MF,tiposindutivos,AULA,codigo-professor,Verificação de Programas,bloco-15,label: Semana 01/06/2026 a 05/06/2026: (01/06/2026): Clas... || Sem,class 06-01..06-10 | 06-01 logica de programas orientacao a objet; 06-03 logica de programas orientacao a objet; 06-08 logica de programas orientacao a objet,bloco-15,class 06-01..06-10 | 06-01 logica de programas orientacao a objet; 06-03 logica de programas orientacao a objet; 06-08 logica de programas orientacao a objet,bloco-10,False,concorda,Exemplos (Tipos Indutivos),Tiposindutivos
MF,archive-of-formal-proofs-355fb8,REF,references,,,,,bloco-01,class 03-02..03-02 | 03-02 apresentacao da disciplina aula,bloco-01,True,sem posicao datada,,Archive of Formal Proofs
MF,aws-encryption-sdk,REF,bibliografia,,,,,bloco-01,class 03-02..03-02 | 03-02 apresentacao da disciplina aula,bloco-01,True,sem posicao datada,,GitHub - aws/aws-encryption-sdk: AWS Encryption SDK · GitHub
MF,eth2,REF,bibliografia,,,,,bloco-01,class 03-02..03-02 | 03-02 apresentacao da disciplina aula,bloco-01,True,sem posicao datada,,GitHub - Consensys/eth2.0-dafny: Eth2.0 spec in Dafny · GitH
SO,0205-laminas-segmentacao,AULA,material-de-aula,Gerência de Memória,bloco-13 bloco-14 bloco-15 bloco-16,irmaos datados do card (faixa),class 05-12..05-12 | 05-12 gerencia de memoria memoria virtual pa / deliverable 05-14..05-14 | 05-14 apresentacao tp1 parte 1 trabalho,bloco-16,class 05-21..06-02 | 05-21 gerencia de memoria memoria virtual pa; 05-26 gerencia de memoria memoria virtual se; 05-28 gerencia de memoria memoria virtual se,bloco-16,True,concorda,02/05 Lâminas: Segmentação,02.05 Lâminas Segmentação
SO,0206-laminas-gerencia-de-i-o-livro-texto,AULA,material-de-aula,Gerência de I O,bloco-16,data no nome (02/06),class 05-21..06-02 | 05-21 gerencia de memoria memoria virtual pa; 05-26 gerencia de memoria memoria virtual se; 05-28 gerencia de memoria memoria virtual se,bloco-16,class 05-21..06-02 | 05-21 gerencia de memoria memoria virtual pa; 05-26 gerencia de memoria memoria virtual se; 05-28 gerencia de memoria memoria virtual se,bloco-16,True,concorda,02/06 Lâminas: Gerência de I/O (Livro-texto),02.06 Lâminas Gerência de I O (Livro-texto)
SO,0206-laminas-mecanismos-de-interrupcao,AULA,material-de-aula,Gerência de I O,bloco-16,data no nome (02/06),class 05-21..06-02 | 05-21 gerencia de memoria memoria virtual pa; 05-26 gerencia de memoria memoria virtual se; 05-28 gerencia de memoria memoria virtual se,bloco-16,class 05-21..06-02 | 05-21 gerencia de memoria memoria virtual pa; 05-26 gerencia de memoria memoria virtual se; 05-28 gerencia de memoria memoria virtual se,bloco-16,True,concorda,02/06 Lâminas: Mecanismos de Interrupção,02.06 Lâminas Mecanismos de Interrupção
SO,0206-laminas-memoria-virtual-livro-texto,AULA,material-de-aula,Gerência de Memória,bloco-16,data no nome (02/06),class 05-21..06-02 | 05-21 gerencia de memoria memoria virtual pa; 05-26 gerencia de memoria memoria virtual se; 05-28 gerencia de memoria memoria virtual se,bloco-16,class 05-21..06-02 | 05-21 gerencia de memoria memoria virtual pa; 05-26 gerencia de memoria memoria virtual se; 05-28 gerencia de memoria memoria virtual se,bloco-16,True,concorda,02/06 Lâminas: Memória Virtual (Livro-texto),02.06 Lâminas Memória Virtual (Livro-texto)
SO,0704-laminas-comunicacao-e-sincronizacao,AULA,material-de-aula,Sincronização e Comunicação de Processos,bloco-06,data no nome (07/04),class 04-07..04-09 | 04-07 gerencia do processador sincronizacao ; 04-09 gerencia do processador sincronizacao ,bloco-06,class 04-07..04-09 | 04-07 gerencia do processador sincronizacao ; 04-09 gerencia do processador sincronizacao ,bloco-06,True,concorda,07/04 Lâminas: Comunicação e Sincronização,07.04 Lâminas Comunicação e Sincronização
SO,0904-laminas-semaforos,AULA,outros,Sincronização e Comunicação de Processos,bloco-06,data no nome (09/04),class 04-07..04-09 | 04-07 gerencia do processador sincronizacao ; 04-09 gerencia do processador sincronizacao ,bloco-06,class 04-07..04-09 | 04-07 gerencia do processador sincronizacao ; 04-09 gerencia do processador sincronizacao ,bloco-06,True,concorda,09/04 Lâminas: Semáforos,09.04 Lâminas Semáforos
SO,1203-processos,AULA,material-de-aula,Processo e Estruturas de Controle,bloco-03,data no nome (12/03),class 03-10..03-17 | 03-10 historico e evolucao dos sistemas oper; 03-12 estruturas dos sistemas operacionais p; 03-17 estruturas dos sistemas operacionais p,bloco-03,class 03-10..03-17 | 03-10 historico e evolucao dos sistemas oper; 03-12 estruturas dos sistemas operacionais p; 03-17 estruturas dos sistemas operacionais p,bloco-03,True,concorda,12/03 Processos,12.03 Processos
SO,1205-laminas-gerencia-de-memoria,AULA,material-de-aula,Gerência de Memória,bloco-13,data no nome (12/05),class 05-12..05-12 | 05-12 gerencia de memoria memoria virtual pa,bloco-13,class 05-12..05-12 | 05-12 gerencia de memoria memoria virtual pa,bloco-13,True,concorda,12/05 Lâminas: Gerência de Memória,12.05 Lâminas Gerência de Memória
SO,14-04-troca-de-mensagens,AULA,material-de-aula,Sincronização e Comunicação de Processos,bloco-07,data no nome (14/04),class 04-14..04-16 | 04-14 especificacao tp1; 04-16 especificacao tp1,bloco-07,class 04-14..04-16 | 04-14 especificacao tp1; 04-16 especificacao tp1,bloco-07,True,concorda,,14 04 Troca de Mensagens
SO,1404-laminas-ipc,AULA,material-de-aula,Sincronização e Comunicação de Processos,bloco-07,data no nome (14/04),class 04-14..04-16 | 04-14 especificacao tp1; 04-16 especificacao tp1,bloco-07,class 04-14..04-16 | 04-14 especificacao tp1; 04-16 especificacao tp1,bloco-07,True,concorda,14/04 Lâminas:  IPC,14.04 Lâminas IPC
SO,1703-chamada-de-sistema,AULA,material-de-aula,Processo e Estruturas de Controle,bloco-03,data no nome (17/03),class 03-10..03-17 | 03-10 historico e evolucao dos sistemas oper; 03-12 estruturas dos sistemas operacionais p; 03-17 estruturas dos sistemas operacionais p,bloco-03,class 03-10..03-17 | 03-10 historico e evolucao dos sistemas oper; 03-12 estruturas dos sistemas operacionais p; 03-17 estruturas dos sistemas operacionais p,bloco-03,True,concorda,17/03 Chamada de Sistema,17.03 Chamada de Sistema
SO,1903-estruturas-de-controle,AULA,material-de-aula,Processo e Estruturas de Controle,bloco-04,data no nome (19/03),class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-04,class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-04,True,concorda,19/03 Estruturas de Controle,19.03 Estruturas de Controle
SO,2105-laminas-paginacao,AULA,material-de-aula,Gerência de Memória,bloco-16,data no nome (21/05),class 05-21..06-02 | 05-21 gerencia de memoria memoria virtual pa; 05-26 gerencia de memoria memoria virtual se; 05-28 gerencia de memoria memoria virtual se,bloco-16,class 05-21..06-02 | 05-21 gerencia de memoria memoria virtual pa; 05-26 gerencia de memoria memoria virtual se; 05-28 gerencia de memoria memoria virtual se,bloco-16,True,concorda,21/05 Lâminas: Paginação,21.05 Lâminas Paginação
SO,2306-laminas-gerencia-de-arquivos,AULA,material-de-aula,Gerência de Arquivos,bloco-20,data no nome (23/06),class 06-16..06-23 | 06-16 gerencia de arquivos aula; 06-18 gerencia de arquivos aula; 06-23 gerencia de arquivos,bloco-20,class 06-16..06-23 | 06-16 gerencia de arquivos aula; 06-18 gerencia de arquivos aula; 06-23 gerencia de arquivos,bloco-20,True,concorda,23/06 Lâminas: Gerência de Arquivos,23.06 Lâminas Gerência de Arquivos
SO,2306-laminas-laminas-armazenamento-em-massa,AULA,material-de-aula,Gerência de Arquivos,bloco-20,data no nome (23/06),class 06-16..06-23 | 06-16 gerencia de arquivos aula; 06-18 gerencia de arquivos aula; 06-23 gerencia de arquivos,bloco-20,class 06-16..06-23 | 06-16 gerencia de arquivos aula; 06-18 gerencia de arquivos aula; 06-23 gerencia de arquivos,bloco-20,True,concorda,23/06 Lâminas: Lâminas: Armazenamento em Massa,23.06 Lâminas Lâminas Armazenamento em Massa
SO,2403-escalonamento-de-processos,AULA,material-de-aula,Gerência de Processos CPU,bloco-04,data no nome (24/03),class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-04,class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-04,True,concorda,24/03 Escalonamento de Processos,24.03 Escalonamento de Processos
SO,2603-algoritmos-de-escalonamento,AULA,material-de-aula,Gerência de Processos CPU,bloco-04,data no nome (26/03),class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-04,class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-04,True,concorda,26/03 Algoritmos de Escalonamento,26.03 Algoritmos de Escalonamento
SO,3103-threads,AULA,material-de-aula,Threads,bloco-04,data no nome (31/03),class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-04,class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-04,True,concorda,31/03 Threads,31.03 Threads
SO,apresentacao-da-disciplina,AULA,material-de-aula,Informações Gerais,,,,bloco-01,overview 03-03..03-03 | 03-03 apresentacao da disciplina e introduca,bloco-04,False,sem posicao datada,Apresentação da Disciplina,Apresentação da Disciplina
SO,biblioteca-em-c-pthread,REF,bibliografia,Threads,bloco-04 bloco-06,irmaos datados do card (faixa),class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl / class 04-07..04-09 | 04-07 gerencia do processador sincronizacao ; 04-09 gerencia do processador sincronizacao ,bloco-04,class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-04,True,concorda,Biblioteca em C - pthread,Biblioteca em C - pthread
SO,definicao-e-historico,AULA,material-de-aula,Introdução aos Sistemas Operacionais,,,,bloco-03,class 03-10..03-17 | 03-10 historico e evolucao dos sistemas oper; 03-12 estruturas dos sistemas operacionais p; 03-17 estruturas dos sistemas operacionais p,bloco-03,True,sem posicao datada,Definição e Histórico,Definição e Histórico
SO,exercicios,AULA,listas,Gerência de Processos CPU,bloco-04,irmaos datados do card (faixa),class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-04,class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-03,False,concorda,Exercícios,Exercícios
SO,exercicios-p2,AULA,listas,Informações Gerais,,,,bloco-20,class 06-16..06-23 | 06-16 gerencia de arquivos aula; 06-18 gerencia de arquivos aula; 06-23 gerencia de arquivos,bloco-20,True,sem posicao datada,Exercícios P2,Exercícios P2
SO,laminas-cs-4244-internet-programming-sockets-programming,REF,bibliografia,Sincronização e Comunicação de Processos,bloco-06 bloco-07,irmaos datados do card (faixa),class 04-07..04-09 | 04-07 gerencia do processador sincronizacao ; 04-09 gerencia do processador sincronizacao  / class 04-14..04-16 | 04-14 especificacao tp1; 04-16 especificacao tp1,bloco-09,class 04-23..04-28 | 04-23 comunicacao entre processos pipes fila; 04-28 exercicios aula,bloco-03,False,gold DEPOIS da postagem,Lâminas: CS 4244 Internet Programming Sockets Programming,Lâminas CS 4244 Internet Programming Sockets Programming
SO,laminas-sockets-material-alternativo-em-pt,REF,bibliografia,Sincronização e Comunicação de Processos,bloco-06 bloco-07,irmaos datados do card (faixa),class 04-07..04-09 | 04-07 gerencia do processador sincronizacao ; 04-09 gerencia do processador sincronizacao  / class 04-14..04-16 | 04-14 especificacao tp1; 04-16 especificacao tp1,bloco-09,class 04-23..04-28 | 04-23 comunicacao entre processos pipes fila; 04-28 exercicios aula,bloco-09,True,gold DEPOIS da postagem,Lâminas:  Sockets (material alternativo em PT),Lâminas Sockets (material alternativo em PT)
SO,lista-exercicios-p1,AULA,listas,Informações Gerais,,,,bloco-09,class 04-23..04-28 | 04-23 comunicacao entre processos pipes fila; 04-28 exercicios aula,bloco-09,True,sem posicao datada,Lista Exercícios P1,Lista Exercícios P1
SO,lista-exercicios-p1-gabarito,AULA,gabaritos,Informações Gerais,,,,bloco-09,class 04-23..04-28 | 04-23 comunicacao entre processos pipes fila; 04-28 exercicios aula,bloco-09,True,sem posicao datada,Lista Exercícios P1 Gabarito,Lista Exercícios P1 Gabarito
SO,lista-exercicios-p2,AULA,listas,Informações Gerais,,,,bloco-20,class 06-16..06-23 | 06-16 gerencia de arquivos aula; 06-18 gerencia de arquivos aula; 06-23 gerencia de arquivos,bloco-20,True,sem posicao datada,Lista Exercícios P2,Lista Exercícios P2
SO,plano-de-ensino,BASE,cronograma,Informações Gerais,,,,bloco-01,overview 03-03..03-03 | 03-03 apresentacao da disciplina e introduca,bloco-01,True,sem posicao datada,,Plano de Ensino
SO,programa,AULA,outros,Informações Gerais,,,,bloco-01,overview 03-03..03-03 | 03-03 apresentacao da disciplina e introduca,bloco-04,False,sem posicao datada,Programa,Programa
SO,questoes-do-enade-sobre-sisop,AULA,listas,Informações Gerais,,,,bloco-01,overview 03-03..03-03 | 03-03 apresentacao da disciplina e introduca,bloco-04,False,sem posicao datada,Questões do ENADE sobre SISOP,Questões do ENADE sobre SISOP
SO,0704-exemplo-threads-em-java,AULA,codigo-professor,Threads,bloco-06,data no nome (07/04),class 04-07..04-09 | 04-07 gerencia do processador sincronizacao ; 04-09 gerencia do processador sincronizacao ,bloco-06,class 04-07..04-09 | 04-07 gerencia do processador sincronizacao ; 04-09 gerencia do processador sincronizacao ,bloco-06,True,concorda,07/04 Exemplo: threads em Java,07.04 Exemplo threads em Java
SO,exemplo-criacao-de-processos-no-unix-linux-filho,AULA,codigo-professor,Processo e Estruturas de Controle,bloco-03 bloco-04,irmaos datados do card (faixa),class 03-10..03-17 | 03-10 historico e evolucao dos sistemas oper; 03-12 estruturas dos sistemas operacionais p; 03-17 estruturas dos sistemas operacionais p / class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-03,class 03-10..03-17 | 03-10 historico e evolucao dos sistemas oper; 03-12 estruturas dos sistemas operacionais p; 03-17 estruturas dos sistemas operacionais p,bloco-09,False,concorda,Exemplo: Criação de Processos no Unix/Linux,Exemplo Criação de Processos no Unix Linux - filho
SO,exemplo-criacao-de-processos-no-unix-linux-teste01,AULA,codigo-professor,Processo e Estruturas de Controle,bloco-03 bloco-04,irmaos datados do card (faixa),class 03-10..03-17 | 03-10 historico e evolucao dos sistemas oper; 03-12 estruturas dos sistemas operacionais p; 03-17 estruturas dos sistemas operacionais p / class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-03,class 03-10..03-17 | 03-10 historico e evolucao dos sistemas oper; 03-12 estruturas dos sistemas operacionais p; 03-17 estruturas dos sistemas operacionais p,bloco-09,False,concorda,Exemplo: Criação de Processos no Unix/Linux,Exemplo Criação de Processos no Unix Linux - teste01
SO,exemplo-criacao-de-processos-no-unix-linux-teste02,AULA,codigo-professor,Processo e Estruturas de Controle,bloco-03 bloco-04,irmaos datados do card (faixa),class 03-10..03-17 | 03-10 historico e evolucao dos sistemas oper; 03-12 estruturas dos sistemas operacionais p; 03-17 estruturas dos sistemas operacionais p / class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-03,class 03-10..03-17 | 03-10 historico e evolucao dos sistemas oper; 03-12 estruturas dos sistemas operacionais p; 03-17 estruturas dos sistemas operacionais p,bloco-09,False,concorda,Exemplo: Criação de Processos no Unix/Linux,Exemplo Criação de Processos no Unix Linux - teste02
SO,exemplo-criacao-de-processos-no-unix-linux-teste03,AULA,codigo-professor,Processo e Estruturas de Controle,bloco-03 bloco-04,irmaos datados do card (faixa),class 03-10..03-17 | 03-10 historico e evolucao dos sistemas oper; 03-12 estruturas dos sistemas operacionais p; 03-17 estruturas dos sistemas operacionais p / class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-03,class 03-10..03-17 | 03-10 historico e evolucao dos sistemas oper; 03-12 estruturas dos sistemas operacionais p; 03-17 estruturas dos sistemas operacionais p,bloco-09,False,concorda,Exemplo: Criação de Processos no Unix/Linux,Exemplo Criação de Processos no Unix Linux - teste03
SO,exemplo-threads-em-c-exemplo1,AULA,codigo-professor,Threads,bloco-04 bloco-06,irmaos datados do card (faixa),class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl / class 04-07..04-09 | 04-07 gerencia do processador sincronizacao ; 04-09 gerencia do processador sincronizacao ,bloco-04,class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-04,True,concorda,Exemplo: threads em C,Exemplo threads em C - exemplo1
SO,exemplo-threads-em-c-exemplo2,AULA,codigo-professor,Threads,bloco-04 bloco-06,irmaos datados do card (faixa),class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl / class 04-07..04-09 | 04-07 gerencia do processador sincronizacao ; 04-09 gerencia do processador sincronizacao ,bloco-04,class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-04,True,concorda,Exemplo: threads em C,Exemplo threads em C - exemplo2
SO,exemplo-threads-em-c-exemplo3,AULA,codigo-professor,Threads,bloco-04 bloco-06,irmaos datados do card (faixa),class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl / class 04-07..04-09 | 04-07 gerencia do processador sincronizacao ; 04-09 gerencia do processador sincronizacao ,bloco-04,class 03-19..03-31 | 03-19 gerencia do processador processos cham; 03-24 gerencia do processador processos cham; 03-26 gerencia do processador threads e excl,bloco-04,True,concorda,Exemplo: threads em C,Exemplo threads em C - exemplo3
IA,ia-responsável-7c4626,REF,references,,,,,bloco-01,overview 03-02..03-02 | 03-02 plano de ensino conteudo programatico ,bloco-01,True,sem posicao datada,,IA Responsável
IA,o-que-é-inteligência-artificial-ia-oracle-brasil-43437f,REF,references,,,,,bloco-01,overview 03-02..03-02 | 03-02 plano de ensino conteudo programatico ,bloco-01,True,sem posicao datada,,O que é Inteligência Artificial (IA)? | Oracle Brasil
IA,visao-geral-introducao-e-historico,AULA,material-de-aula,Semana 1 - 02.03 a 06.03 - Plano de Ensino e Introdução a IA,bloco-01 bloco-02,secao: Semana 1 - 02/03 a 06/03 - Plano de Ensi,overview 03-02..03-02 | 03-02 plano de ensino conteudo programatico  / class 03-04..03-04 | 03-04 visao geral da ia aula,bloco-02,class 03-04..03-04 | 03-04 visao geral da ia aula,bloco-02,True,concorda,Visão Geral - Introdução e Histórico,Visão Geral - Introdução e Histórico
IA,analise-exploratoria-dos-dados-exemplo-2,AULA,codigo-professor,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,bloco-04 bloco-05,secao: Semana 3 - 16/03 a 20/03 - Machine Learn,class 03-11..03-16 | 03-11 ml tipos de dados e preparacao de dado; 03-16 ml preparacao de dados aula / class 03-18..04-15 | 03-18 ml abordagem supervisionada k nn aula; 03-23 ml abordagem supervisionada k nn aula; 03-25 ml abordagem supervisionada rede neura,bloco-04,class 03-11..03-16 | 03-11 ml tipos de dados e preparacao de dado; 03-16 ml preparacao de dados aula,bloco-04,True,concorda,Analise Exploratória dos Dados - Exemplo 2,Analise Exploratória dos Dados - Exemplo 2
IA,caracteristicas-dos-dados,AULA,material-de-aula,Semana 2 - 09.03 a 13.03 - Introdução a IA (continuação) e Introdução a ML,bloco-03 bloco-04,secao: Semana 2 - 09/03 a 13/03 - Introdução a ,overview 03-09..03-09 | 03-09 ml introducao a ml aula / class 03-11..03-16 | 03-11 ml tipos de dados e preparacao de dado; 03-16 ml preparacao de dados aula,bloco-04,class 03-11..03-16 | 03-11 ml tipos de dados e preparacao de dado; 03-16 ml preparacao de dados aula,bloco-04,True,concorda,Características dos Dados,Características dos Dados
IA,introducao-a-ml,AULA,material-de-aula,Semana 2 - 09.03 a 13.03 - Introdução a IA (continuação) e Introdução a ML,bloco-03 bloco-04,secao: Semana 2 - 09/03 a 13/03 - Introdução a ,overview 03-09..03-09 | 03-09 ml introducao a ml aula / class 03-11..03-16 | 03-11 ml tipos de dados e preparacao de dado; 03-16 ml preparacao de dados aula,bloco-03,overview 03-09..03-09 | 03-09 ml introducao a ml aula,bloco-03,True,concorda,Introdução a ML,Introdução a ML
IA,algoritmo-de-classificacao-k-nn,AULA,material-de-aula,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,bloco-04 bloco-05,secao: Semana 3 - 16/03 a 20/03 - Machine Learn,class 03-11..03-16 | 03-11 ml tipos de dados e preparacao de dado; 03-16 ml preparacao de dados aula / class 03-18..04-15 | 03-18 ml abordagem supervisionada k nn aula; 03-23 ml abordagem supervisionada k nn aula; 03-25 ml abordagem supervisionada rede neura,bloco-05,class 03-18..04-15 | 03-18 ml abordagem supervisionada k nn aula; 03-23 ml abordagem supervisionada k nn aula; 03-25 ml abordagem supervisionada rede neura,bloco-04,False,concorda,Algoritmo de Classificação k-NN,Algoritmo de Classificação k-NN
